PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,SOORT DIPLOMA,2011 MAN,2011 VROUW,2012 MAN,2012 VROUW,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66601,M Sociologie,voltijd onderwijs,master,wo master,10,11,9,10,7,7,9,5,7,8
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66606,M Politicologie,voltijd onderwijs,master,wo master,14,14,10,8,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66607,M Pedagogische Wetenschappen,voltijd onderwijs,master,wo master,6,218,8,177,7,195,2,165,2,170
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66613,M Onderwijskunde,voltijd onderwijs,master,wo master,3,20,1,7,2,10,1,25,6,21
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66615,M Communicatiewetenschap,voltijd onderwijs,master,wo master,25,52,21,32,17,46,22,39,25,43
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66620,M Sociale Geografie,voltijd onderwijs,master,wo master,32,34,26,26,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66622,M Planologie,duaal onderwijs,master,wo master,0,0,0,0,1,0,2,0,0,2
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66622,M Planologie,voltijd onderwijs,master,wo master,46,16,31,14,24,24,31,18,29,15
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66627,M Bestuurskunde,voltijd onderwijs,master,wo master,43,20,30,23,30,32,33,28,42,36
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66839,M Environment and Society Studies,voltijd onderwijs,master,wo master,2,6,1,7,9,14,5,9,8,3
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),6551,Geneeskunde,voltijd onderwijs,beroepsfase,wo ongedeelde opleiding,15,18,0,0,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),6551,Geneeskunde,voltijd onderwijs,initiï¿½le opleiding,wo ongedeelde opleiding,1,0,0,0,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),56551,B Geneeskunde,voltijd onderwijs,bachelor,wo bachelor,106,214,114,246,111,221,92,201,103,214
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),56560,B Tandheelkunde,voltijd onderwijs,bachelor,wo bachelor,25,42,19,42,18,52,20,46,13,41
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),56990,B Biomedische Wetenschappen,voltijd onderwijs,bachelor,wo bachelor,26,54,29,61,27,54,25,42,27,57
