province,municipality_id,municipality_name,institution_type,brin_id,institution_name,croho_section,croho_subsection,degree_course_id,degree_course_name,degree_course_education_type,degree_course_type,year,male,female
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68516,M Leraar Voorbereidend Hoger Onderwijs in Wiskunde,deeltijd onderwijs,master,2016,2,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68516,M Leraar Voorbereidend Hoger Onderwijs in Wiskunde,voltijd onderwijs,master,2012,3,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68516,M Leraar Voorbereidend Hoger Onderwijs in Wiskunde,voltijd onderwijs,master,2013,2,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68516,M Leraar Voorbereidend Hoger Onderwijs in Wiskunde,voltijd onderwijs,master,2014,2,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68516,M Leraar Voorbereidend Hoger Onderwijs in Wiskunde,voltijd onderwijs,master,2015,2,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68516,M Leraar Voorbereidend Hoger Onderwijs in Wiskunde,voltijd onderwijs,master,2016,4,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,deeltijd onderwijs,master,2012,1,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,deeltijd onderwijs,master,2013,1,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,deeltijd onderwijs,master,2014,1,3
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,deeltijd onderwijs,master,2015,0,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,deeltijd onderwijs,master,2016,0,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,voltijd onderwijs,master,2012,1,9
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,voltijd onderwijs,master,2013,1,4
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,voltijd onderwijs,master,2014,0,5
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,voltijd onderwijs,master,2015,0,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68517,M Leraar Voorbereidend Hoger Onderwijs in Frans,voltijd onderwijs,master,2016,0,4
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,deeltijd onderwijs,master,2012,4,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,deeltijd onderwijs,master,2013,3,3
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,deeltijd onderwijs,master,2014,4,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,deeltijd onderwijs,master,2015,3,5
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,deeltijd onderwijs,master,2016,3,5
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,voltijd onderwijs,master,2012,9,3
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,voltijd onderwijs,master,2013,12,2
