PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);56815;B Finoegrische Talen en Culturen;voltijd onderwijs;propedeuse bachelor;1;0;1;0;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);56824;B Kunstgeschiedenis;voltijd onderwijs;bachelor;11;48;9;34;14;38;7;32;7;42
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);56824;B Kunstgeschiedenis;voltijd onderwijs;propedeuse bachelor;5;20;7;28;3;24;2;23;4;26
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);56826;B Communicatie- en Informatiewetenschappen;voltijd onderwijs;bachelor;43;169;51;181;60;168;51;151;43;135
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);56826;B Communicatie- en Informatiewetenschappen;voltijd onderwijs;propedeuse bachelor;45;111;47;91;35;70;16;71;20;39
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);57084;B Wijsbegeerte van een Bepaald Wetenschapsgebied;deeltijd onderwijs;bachelor;1;3;3;1;4;1;4;1;4;2
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);57084;B Wijsbegeerte van een Bepaald Wetenschapsgebied;deeltijd onderwijs;propedeuse bachelor;1;1;1;1;0;1;0;1;0;1
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);57084;B Wijsbegeerte van een Bepaald Wetenschapsgebied;voltijd onderwijs;bachelor;16;12;21;11;18;16;21;17;20;7
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);57084;B Wijsbegeerte van een Bepaald Wetenschapsgebied;voltijd onderwijs;propedeuse bachelor;1;1;1;0;1;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60039;M Oudheidstudies (research);voltijd onderwijs;master;1;2;3;4;4;3;5;4;3;2
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60087;M Kunst- & cultuurwetenschappen;voltijd onderwijs;master;22;50;25;73;32;92;40;100;33;89
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60128;M Filosofie (research);deeltijd onderwijs;master;1;2;1;1;2;1;1;2;2;1
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60128;M Filosofie (research);voltijd onderwijs;master;2;3;9;6;17;7;26;4;17;8
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60133;M Archeologie (research);voltijd onderwijs;master;3;4;5;11;8;17;8;19;9;20
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60139;M Geschiedenis (research);voltijd onderwijs;master;9;3;17;5;25;6;19;6;23;9
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60173;M Linguistics: Neurolinguistics and Models of Grammar (research);voltijd onderwijs;master;3;6;2;3;1;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60600;M Religion and Culture (research);voltijd onderwijs;master;2;5;0;3;0;2;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60601;M Geestelijke Verzorging;deeltijd onderwijs;master;5;8;3;3;0;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60601;M Geestelijke Verzorging;voltijd onderwijs;master;1;2;0;1;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60623;M American Studies;voltijd onderwijs;master;8;5;2;2;3;2;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60624;M Euroculture;voltijd onderwijs;master;0;2;0;0;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60626;M Humanitarian Action;voltijd onderwijs;master;4;17;1;5;0;2;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60627;M Internationale Betrekkingen en Internationale Organisatie;voltijd onderwijs;master;51;71;20;32;12;12;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60628;M Journalistiek;voltijd onderwijs;master;25;31;4;7;1;2;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60629;M Kunsten, Cultuur en Media;voltijd onderwijs;master;8;44;3;16;0;8;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60630;M Toegepaste Taalwetenschap;voltijd onderwijs;master;1;1;0;0;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60638;M Classical, Medieval and Renaissance Studies (CMRS) : Text and Context in Premodern and Early Modern Times (research);voltijd onderwijs;master;4;7;2;1;1;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60639;M Art History and Archaeology: Material Culture Studies in Art, Architecture and Archaeology (research);voltijd onderwijs;master;12;18;4;11;2;6;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60640;M Literary and Cultural Studies:Literature and Performing Arts in Society (research);voltijd onderwijs;master;4;11;1;4;0;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60641;M Modern History and International Relations: Transformation and Acceptance (research);voltijd onderwijs;master;10;12;8;6;3;3;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60655;M Philosophy: Knowledge and Knowledge Development (research);deeltijd onderwijs;master;0;0;0;1;0;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60655;M Philosophy: Knowledge and Knowledge Development (research);voltijd onderwijs;master;7;2;3;1;2;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60671;M Algemene Taalwetenschap;voltijd onderwijs;master;0;2;0;1;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60672;M Duitse Taal en Cultuur;voltijd onderwijs;master;0;1;0;0;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60673;M Engelse Taal en Cultuur;voltijd onderwijs;master;2;11;1;2;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60674;M Finoegrische Talen en Culturen;voltijd onderwijs;master;1;0;0;0;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60677;M Nederlandse Taal en Cultuur;voltijd onderwijs;master;2;12;0;7;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60678;M Romaanse Talen en Culturen;voltijd onderwijs;master;2;6;1;4;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60679;M Scandinavische Talen en Culturen;voltijd onderwijs;master;0;2;0;2;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60680;M Slavische Talen en Culturen;voltijd onderwijs;master;2;1;1;1;1;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60734;M Internationale betrekkingen;voltijd onderwijs;master;25;34;48;68;96;100;114;109;107;103
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60805;M Archeologie;voltijd onderwijs;master;10;11;11;13;9;12;15;10;14;11
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60813;M Letterkunde;deeltijd onderwijs;master;0;1;0;1;0;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60813;M Letterkunde;voltijd onderwijs;master;12;25;17;50;11;47;10;47;11;58
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60814;M Letterkunde (research);voltijd onderwijs;master;4;8;5;7;7;11;1;12;2;13
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;master;11;36;12;70;12;92;12;72;16;83
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60817;M Taalwetenschappen (research);voltijd onderwijs;master;6;17;5;14;7;27;9;35;8;35
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60819;M Internationale Betrekkingen;voltijd onderwijs;master;6;15;11;33;8;40;19;50;9;48
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60820;M Internationale Betrekkingen (research);voltijd onderwijs;master;1;3;1;6;5;7;8;6;7;5
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60821;M Oudheidstudies;voltijd onderwijs;master;0;0;1;0;0;1;3;2;6;3
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60822;M Filosofie;deeltijd onderwijs;master;3;4;6;4;5;7;4;10;3;6
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60822;M Filosofie;voltijd onderwijs;master;9;5;13;5;16;9;27;11;23;17
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60823;M Filosofie;deeltijd onderwijs;master;1;0;1;1;1;1;1;2;1;1
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60823;M Filosofie;voltijd onderwijs;master;5;2;6;4;7;6;3;3;6;2
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60824;M Theologie & Religiewetenschappen;deeltijd onderwijs;master;2;5;2;13;6;23;6;18;7;14
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60824;M Theologie & Religiewetenschappen;voltijd onderwijs;master;8;18;10;25;17;33;14;31;17;33
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60827;M Theologie & Religiewetenschappen (research);voltijd onderwijs;master;0;2;2;1;7;7;10;7;9;9
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60829;M Kunst- & cultuurwetenschappen (research);voltijd onderwijs;master;2;4;5;13;3;12;2;11;2;9
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60831;M Mediastudies;voltijd onderwijs;master;13;36;32;53;43;66;48;74;49;67
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60842;M Midden-Oosten Studies;voltijd onderwijs;master;0;2;4;5;8;5;8;6;10;8
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60845;M Noord-Amerika Studies;voltijd onderwijs;master;5;7;10;11;15;14;18;16;22;12
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60847;M Europese Studies;voltijd onderwijs;master;8;20;11;24;8;22;8;29;17;39
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60849;M Neerlandistiek;voltijd onderwijs;master;2;20;4;14;4;20;4;28;6;29
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66034;M Geschiedenis;deeltijd onderwijs;master;8;5;6;7;10;7;8;5;9;10
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66034;M Geschiedenis;voltijd onderwijs;master;47;33;52;32;42;31;51;37;51;36
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66058;M Speech and Language Pathology;voltijd onderwijs;master;0;7;0;1;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66081;M Wijsbegeerte;deeltijd onderwijs;master;1;2;0;1;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66081;M Wijsbegeerte;voltijd onderwijs;master;2;5;1;1;1;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66104;M Godsdienstwetenschap;deeltijd onderwijs;master;1;2;1;3;0;2;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66104;M Godsdienstwetenschap;voltijd onderwijs;master;1;7;1;3;1;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66121;M Theologie;deeltijd onderwijs;master;2;2;1;1;1;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66121;M Theologie;voltijd onderwijs;master;0;0;0;1;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66824;M Kunstgeschiedenis;voltijd onderwijs;master;9;29;3;17;1;3;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);66826;M Communicatie- & Informatiewetenschappen;voltijd onderwijs;master;53;101;48;91;49;101;57;115;49;114
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);67084;M Wijsbegeerte van een Bepaald Wetenschapsgebied;deeltijd onderwijs;master;0;0;1;0;0;0;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);67084;M Wijsbegeerte van een Bepaald Wetenschapsgebied;voltijd onderwijs;master;3;2;0;1;1;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);56960;B Scheikundige Technologie;voltijd onderwijs;bachelor;15;3;27;3;43;7;59;14;63;23
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);56960;B Scheikundige Technologie;voltijd onderwijs;propedeuse bachelor;23;1;31;7;60;9;57;25;69;25
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);56962;B Technische Natuurkunde;voltijd onderwijs;bachelor;42;4;49;2;48;3;46;3;56;4
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);56962;B Technische Natuurkunde;voltijd onderwijs;propedeuse bachelor;34;3;37;4;55;2;54;5;52;4
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);56965;B Technische Wiskunde;voltijd onderwijs;bachelor;9;3;6;4;8;4;6;3;4;2
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);56965;B Technische Wiskunde;voltijd onderwijs;propedeuse bachelor;11;0;14;4;14;3;16;5;20;6
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);56994;B Technische Bedrijfskunde;voltijd onderwijs;bachelor;172;26;169;34;176;40;195;46;213;45
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);56994;B Technische Bedrijfskunde;voltijd onderwijs;propedeuse bachelor;155;23;171;33;181;33;173;27;177;34
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);60029;M Industrial Engineering and Management;voltijd onderwijs;master;159;20;162;24;172;21;187;34;187;38
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);60348;M Applied Mathematics;voltijd onderwijs;master;10;2;12;3;10;4;10;2;11;2
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);60436;M Applied Physics;voltijd onderwijs;master;35;3;37;1;39;2;41;3;43;2
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);60437;M Chemical Engineering;voltijd onderwijs;master;27;4;18;8;23;7;32;8;38;9
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;master;0;0;0;0;1;1;0;0;0;0
Groningen;0014;GRONINGEN;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);66226;M Biomedical Engineering;voltijd onderwijs;master;38;18;48;21;40;27;31;28;38;29
Groningen;0014;GRONINGEN;reguliere inst.;25BE;Hanzehogeschool Groningen;economie;n.v.t. (economie);69298;M European Master in Sustainable Energy System Management;voltijd onderwijs;master;0;0;0;0;0;0;6;2;18;7
Groningen;0014;GRONINGEN;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);69299;M European Master in Renewable Energy;voltijd onderwijs;master;0;0;0;0;15;1;28;0;43;3
Limburg;0935;MAASTRICHT;WO kleine univ.;27YA;transnationale Universiteit Limburg;natuur;n.v.t. (natuur);60125;M Operations Research;voltijd onderwijs;master;25;8;26;11;29;4;25;1;23;4
Limburg;0935;MAASTRICHT;WO kleine univ.;27YA;transnationale Universiteit Limburg;natuur;n.v.t. (natuur);66981;M Artificial Intelligence;voltijd onderwijs;master;45;3;65;6;62;10;54;11;51;11
Limburg;0935;MAASTRICHT;WO kleine univ.;27YA;transnationale Universiteit Limburg;natuur;n.v.t. (natuur);66990;M Biomedical Sciences;voltijd onderwijs;master;58;54;49;61;44;77;57;89;63;88
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);50019;B International Business;voltijd onderwijs;bachelor;953;641;987;709;1023;777;1043;870;1063;910
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;549;216;542;223;565;251;542;271;539;280
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);56402;B Fiscale Economie;voltijd onderwijs;bachelor;109;39;125;48;122;48;96;44;94;41
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);56833;B Econometrie en Operationele Research;voltijd onderwijs;bachelor;110;45;129;56;128;76;136;82;121;75
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60001;M Management of Learning;voltijd onderwijs;master;5;29;11;35;15;40;12;26;10;20
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60012;M Economic and Financial Research (research);voltijd onderwijs;master;13;4;16;9;18;10;13;8;11;2
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60013;M Business Research (research);voltijd onderwijs;master;8;6;5;4;3;2;3;1;6;2
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60014;M Economic Studies;voltijd onderwijs;master;34;22;34;22;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60018;M Information and Network Economics;voltijd onderwijs;master;10;3;9;2;6;3;4;4;5;2
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60019;M International Business;deeltijd onderwijs;master;57;24;61;30;52;18;42;12;36;10
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60019;M International Business;voltijd onderwijs;master;671;412;556;314;481;272;516;299;458;292
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60307;M Econometrics and Operations Research;voltijd onderwijs;master;25;7;20;12;22;15;26;14;27;17
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60321;M Financial Economics;voltijd onderwijs;master;43;24;53;18;47;16;43;20;33;15
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60445;M Global Supply Chain Management and Change;voltijd onderwijs;master;10;6;11;10;24;12;16;20;24;16
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);60464;M Human Decision Science;voltijd onderwijs;master;17;11;24;19;13;13;15;19;11;17
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;master;0;0;0;0;19;16;22;7;26;7
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;economie;n.v.t. (economie);66402;M Fiscale Economie;voltijd onderwijs;master;15;10;16;11;14;12;12;14;10;10
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56051;B Europese Studies;voltijd onderwijs;bachelor;455;522;467;522;466;506;461;495;446;462
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;268;673;245;634;228;609;264;745;276;816
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60003;M European Public Affairs;voltijd onderwijs;master;16;13;15;19;17;21;15;15;11;15
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60116;M Analysing Europe;voltijd onderwijs;master;0;4;0;0;0;0;0;0;0;0
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60328;M Public Policy and Human Development;voltijd onderwijs;master;74;79;55;78;67;93;77;111;96;122
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60377;M European Studies (research);voltijd onderwijs;master;8;10;7;8;10;8;11;8;11;7
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60465;M Globalisation and Development Studies;voltijd onderwijs;master;5;26;12;33;6;28;10;31;13;24
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66604;M Psychology;voltijd onderwijs;master;86;250;91;285;112;316;112;292;86;308
Limburg;0935;MAASTRICHT;reguliere inst.;21PJ;Universiteit Maastricht;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69303;M European Studies;voltijd onderwijs;master;57;49;63;62;41;47;44;46;31;28
